Taxon,taxon,binomial,genus,species,subspecies,taxon,Status,Accepted name,Authority,Collection source,ETS accession,ITS accession,matK accession,psbA accession
Eucalyptus staeri,eucalyptus staeri,eucalyptus staeri,eucalyptus,staeri,NA,eucalyptus staeri,Accepted,,(Maiden) Maiden ex Kessell &,Currency Creek 1133,KT631986,AF390531,,
Eucalyptus steedmanii,eucalyptus steedmanii,eucalyptus steedmanii,eucalyptus,steedmanii,NA,eucalyptus steedmanii,Accepted,,C.A.Gardner,Currency Creek 317,KT631987,KT631347,KT633143,KT632555
Eucalyptus stellulata,eucalyptus stellulata,eucalyptus stellulata,eucalyptus,stellulata,NA,eucalyptus stellulata,Accepted,,Sieber ex DC.,ANBG 9102880,KT631988,KT631348,KT633144,KT632556
Eucalyptus stenostoma,eucalyptus stenostoma,eucalyptus stenostoma,eucalyptus,stenostoma,NA,eucalyptus stenostoma,Accepted,,L.A.S.Johnson & Blaxell,Currency Creek 2900,KT631989,FJ494731,,
Eucalyptus stoatei,eucalyptus stoatei,eucalyptus stoatei,eucalyptus,stoatei,NA,eucalyptus stoatei,Accepted,,C.A.Gardner,Currency Creek 181,KT631990,KT631349,KT633145,KT632557
Eucalyptus stowardii,eucalyptus stowardii,eucalyptus stowardii,eucalyptus,stowardii,NA,eucalyptus stowardii,Accepted,,Maiden,CANB 790458**,KT631991,KT631350,KT633146,
Eucalyptus stricklandii,eucalyptus stricklandii,eucalyptus stricklandii,eucalyptus,stricklandii,NA,eucalyptus stricklandii,Accepted,,Maiden,Currency Creek 3646,KT631992,KT631351,KT633147,KT632558
Eucalyptus stricta,eucalyptus stricta,eucalyptus stricta,eucalyptus,stricta,NA,eucalyptus stricta,Accepted,,Sieber ex Spreng.,Currency Creek 1751,KT631993,EF051501,,
Eucalyptus strzeleckii subsp. strzeleckii,eucalyptus strzeleckii subsp. strzeleckii,eucalyptus strzeleckii,eucalyptus,strzeleckii,strzeleckii,eucalyptus strzeleckii subsp. strzeleckii,Accepted,,Rule,Currency Creek 1731,KT631994,KT631352,KT633148,KT632559
Eucalyptus sturgissiana,eucalyptus sturgissiana,eucalyptus sturgissiana,eucalyptus,sturgissiana,NA,eucalyptus sturgissiana,Accepted,,L.A.S.Johnson & Blaxell,Currency Creek 1757,KT631995,KT631353,KT633149,
Eucalyptus subangusta subsp. subangusta,eucalyptus subangusta subsp. subangusta,eucalyptus subangusta,eucalyptus,subangusta,subangusta,eucalyptus subangusta subsp. subangusta,Accepted,,(Blakely) Brooker & Hopper,Currency Creek 3451,KT631996,KT631354,KT633150,KT632560
Eucalyptus subcrenulata,eucalyptus subcrenulata,eucalyptus subcrenulata,eucalyptus,subcrenulata,NA,eucalyptus subcrenulata,Accepted,,Maiden & Blakely,ANBG 9702884,KT631997,,,
Eucalyptus suberea,eucalyptus suberea,eucalyptus suberea,eucalyptus,suberea,NA,eucalyptus suberea,Accepted,,Brooker & Hopper,CANB 794196**,KT631998,FJ494732,KT633151,KT632561
Eucalyptus subtilis,eucalyptus subtilis,eucalyptus subtilis,eucalyptus,subtilis,NA,eucalyptus subtilis,Accepted,,Brooker & Hopper,Currency Creek 3715,KT631999,KT631355,KT633152,KT632562
Eucalyptus suggrandis subsp. suggrandis,eucalyptus suggrandis subsp. suggrandis,eucalyptus suggrandis,eucalyptus,suggrandis,suggrandis,eucalyptus suggrandis subsp. suggrandis,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 3583,KT632000,KT631356,KT633153,KT632563
Eucalyptus surgens,eucalyptus surgens,eucalyptus surgens,eucalyptus,surgens,NA,eucalyptus surgens,Accepted,,Brooker & Hopper,Currency Creek 558,KT632001,KT631357,KT633154,KT632564
Eucalyptus synandra,eucalyptus synandra,eucalyptus synandra,eucalyptus,synandra,NA,eucalyptus synandra,Accepted,,Crisp,CANB 794049**,KT632002,KT631358,KT633155,KT632565
Eucalyptus talyuberlup,eucalyptus talyuberlup,eucalyptus talyuberlup,eucalyptus,talyuberlup,NA,eucalyptus talyuberlup,Accepted,,D.J.Carr & S.G.M.Carr,Currency Creek 4804,KT632003,KT631359,KT633156,KT632566
Eucalyptus tectifica,eucalyptus tectifica,eucalyptus tectifica,eucalyptus,tectifica,NA,eucalyptus tectifica,Accepted,,F.Muell.,CANB 785474**,KT632004,KT631360,KT633157,
Eucalyptus tenella,eucalyptus tenella,eucalyptus tenella,eucalyptus,tenella,NA,eucalyptus tenella,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 763,KT632005,KT631361,KT633158,KT632567
Eucalyptus tenera,eucalyptus tenera,eucalyptus tenera,eucalyptus,tenera,NA,eucalyptus tenera,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 3590,KT632006,KT631362,KT633159,KT632568
Eucalyptus tenuipes,eucalyptus tenuipes,eucalyptus tenuipes,eucalyptus,tenuipes,NA,eucalyptus tenuipes,Accepted,,(Maiden & Blakely) Blakely &,GenBank,FJ799979,AF390523,HQ287637,FJ654340
Eucalyptus tenuiramis,eucalyptus tenuiramis,eucalyptus tenuiramis,eucalyptus,tenuiramis,NA,eucalyptus tenuiramis,Accepted,,Miq.,CANB 692639**,KT632007,AF058500,KT633160,KT632569
Eucalyptus tenuis,eucalyptus tenuis,eucalyptus tenuis,eucalyptus,tenuis,NA,eucalyptus tenuis,Accepted,,Brooker & Hopper,Currency Creek 326,KT632008,KT631363,KT633161,KT632570
Eucalyptus tephrodes,eucalyptus tephrodes,eucalyptus tephrodes,eucalyptus,tephrodes,NA,eucalyptus tephrodes,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 1194,KT632009,KT631364,KT633162,KT632571
Eucalyptus terebra,eucalyptus terebra,eucalyptus terebra,eucalyptus,terebra,NA,eucalyptus terebra,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 3607,KT632010,KT631365,KT633163,KT632572
Eucalyptus tereticornis subsp. tereticornis,eucalyptus tereticornis subsp. tereticornis,eucalyptus tereticornis,eucalyptus,tereticornis,tereticornis,eucalyptus tereticornis subsp. tereticornis,Accepted,,Sm.,Currency Creek 713,KT632011,KT631366,KT633164,KT632573
Eucalyptus tetrapleura,eucalyptus tetrapleura,eucalyptus tetrapleura,eucalyptus,tetrapleura,NA,eucalyptus tetrapleura,Accepted,,L.A.S.Johnson,Currency Creek 1242,KT632012,KT631367,KT633165,KT632574
Eucalyptus tetraptera,eucalyptus tetraptera,eucalyptus tetraptera,eucalyptus,tetraptera,NA,eucalyptus tetraptera,Accepted,,Turcz.,Waite Arboretum 1860A,KT632013,KT631368,KT633166,KT632575
Eucalyptus tetrodonta,eucalyptus tetrodonta,eucalyptus tetrodonta,eucalyptus,tetrodonta,NA,eucalyptus tetrodonta,Accepted,,F.Muell.,CANB 785477**,FJ654428,AF390465,KT633167,KT632576
Eucalyptus thamnoides,eucalyptus thamnoides,eucalyptus thamnoides,eucalyptus,thamnoides,NA,eucalyptus thamnoides,Accepted,,Brooker & Hopper,Currency Creek 3545,KT632014,KT631369,KT633168,KT632577
Eucalyptus tholiformis,eucalyptus tholiformis,eucalyptus tholiformis,eucalyptus,tholiformis,NA,eucalyptus tholiformis,Accepted,,A.R.Bean & Brooker,Waite Arboretum 2708,KT632015,KT631370,KT633169,
Eucalyptus thozetiana,eucalyptus thozetiana,eucalyptus thozetiana,eucalyptus,thozetiana,NA,eucalyptus thozetiana,Accepted,,F.Muell. ex R.T.Baker,CANB 785597**,KT632016,KT631371,KT633170,
Eucalyptus tindaliae,eucalyptus tindaliae,eucalyptus tindaliae,eucalyptus,tindaliae,NA,eucalyptus tindaliae,Accepted,,Blakely,GenBank,,AF390534,,
Eucalyptus tintinnans,eucalyptus tintinnans,eucalyptus tintinnans,eucalyptus,tintinnans,NA,eucalyptus tintinnans,Accepted,,(Blakely & Jacobs) L.A.S.Johnson,CANB 557752**,KT632017,KT631372,KT633171,KT632578
Eucalyptus todtiana,eucalyptus todtiana,eucalyptus todtiana,eucalyptus,todtiana,NA,eucalyptus todtiana,Accepted,,F.Muell.,CANB 530801**,FJ494771,FJ494735,,KT632579
Eucalyptus torquata,eucalyptus torquata,eucalyptus torquata,eucalyptus,torquata,NA,eucalyptus torquata,Accepted,,Luehm.,CANB 794031**,KT632018,KT631373,KT633172,KT632580
Eucalyptus tortilis,eucalyptus tortilis,eucalyptus tortilis,eucalyptus,tortilis,NA,eucalyptus tortilis,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 130,KT632019,KT631374,KT633173,KT632581
Eucalyptus transcontinentalis,eucalyptus transcontinentalis,eucalyptus transcontinentalis,eucalyptus,transcontinentalis,NA,eucalyptus transcontinentalis,Accepted,,Maiden,Currency Creek 550,KT632020,KT631375,KT633174,KT632582
Eucalyptus tricarpa,eucalyptus tricarpa,eucalyptus tricarpa,eucalyptus,tricarpa,NA,eucalyptus tricarpa,Accepted,,(L.A.S.Johnson) L.A.S.Johnson &,ANBG 8701791,KT632021,KT631376,KT633175,KT632583
Eucalyptus triflora,eucalyptus triflora,eucalyptus triflora,eucalyptus,triflora,NA,eucalyptus triflora,Accepted,,(Maiden) Blakely,ANBG 763500,KT632022,KT631377,KT633176,KT632584
Eucalyptus trivalvis,eucalyptus trivalvis,eucalyptus trivalvis,eucalyptus,trivalvis,NA,eucalyptus trivalvis,Accepted,,Blakely,Waite Arboretum 1842,KT632023,KT631378,KT633177,KT632585
Eucalyptus tumida,eucalyptus tumida,eucalyptus tumida,eucalyptus,tumida,NA,eucalyptus tumida,Accepted,,Brooker & Hopper,CANB 794343**,KT632024,KT631379,KT633178,KT632586
Eucalyptus ultima,eucalyptus ultima,eucalyptus ultima,eucalyptus,ultima,NA,eucalyptus ultima,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 1182,KT632025,KT631380,KT633179,
Eucalyptus umbra,eucalyptus umbra,eucalyptus umbra,eucalyptus,umbra,NA,eucalyptus umbra,Accepted,,F.Muell. ex R.T.Baker,ANBG 60074,KT632026,AF058505,KT633180,KT632587
Eucalyptus uncinata subsp. uncinata,eucalyptus uncinata subsp. uncinata,eucalyptus uncinata,eucalyptus,uncinata,uncinata,eucalyptus uncinata subsp. uncinata,Accepted,,Turcz.,Currency Creek s.n.,KT632027,KT631381,KT633181,KT632588
Eucalyptus urna,eucalyptus urna,eucalyptus urna,eucalyptus,urna,NA,eucalyptus urna,Accepted,,D.Nicolle,Currency Creek 1817,KT632028,KT631382,KT633182,KT632589
Eucalyptus urophylla,eucalyptus urophylla,eucalyptus urophylla,eucalyptus,urophylla,NA,eucalyptus urophylla,Accepted,,S.T.Blake,CANB 180346**,,AF390489,KT633183,KT632590
Eucalyptus utilis,eucalyptus utilis,eucalyptus utilis,eucalyptus,utilis,NA,eucalyptus utilis,Accepted,,Brooker & Hopper,Currency Creek 3705,KT632029,KT631383,KT633184,KT632591
Eucalyptus valens,eucalyptus valens,eucalyptus valens,eucalyptus,valens,NA,eucalyptus valens,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 158,KT632030,KT631384,KT633185,KT632592
Eucalyptus vegrandis subsp. vegrandis,eucalyptus vegrandis subsp. vegrandis,eucalyptus vegrandis,eucalyptus,vegrandis,vegrandis,eucalyptus vegrandis subsp. vegrandis,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 3563,KT632031,KT631385,KT633186,KT632593
Eucalyptus vernicosa,eucalyptus vernicosa,eucalyptus vernicosa,eucalyptus,vernicosa,NA,eucalyptus vernicosa,Accepted,,Hook.f.,ANBG s.n.,KT632032,KT631386,KT633187,KT632594
Eucalyptus verrucata,eucalyptus verrucata,eucalyptus verrucata,eucalyptus,verrucata,NA,eucalyptus verrucata,Accepted,,Ladiges & Whiffin,Currency Creek 3787,KT632033,KT631387,KT633188,KT632595
Eucalyptus vesiculosa,eucalyptus vesiculosa,eucalyptus vesiculosa,eucalyptus,vesiculosa,NA,eucalyptus vesiculosa,Accepted,,Brooker & Hopper,Currency Creek s.n.,KT632034,KT631388,KT633189,KT632596
Eucalyptus vicina,eucalyptus vicina,eucalyptus vicina,eucalyptus,vicina,NA,eucalyptus vicina,Accepted,,L.A.S.Johnson & K.D.Hill,GenBank,,HM116971,,
Eucalyptus victoriana,eucalyptus victoriana,eucalyptus victoriana,eucalyptus,victoriana,NA,eucalyptus victoriana,Accepted,,Ladiges & Whiffin,Currency Creek 3786,KT632035,KT631389,KT633190,
Eucalyptus victrix,eucalyptus victrix,eucalyptus victrix,eucalyptus,victrix,NA,eucalyptus victrix,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek s.n.,KT632036,,KT633191,KT632597
Eucalyptus viminalis subsp. viminalis,eucalyptus viminalis subsp. viminalis,eucalyptus viminalis,eucalyptus,viminalis,viminalis,eucalyptus viminalis subsp. viminalis,Accepted,,Labill.,Currency Creek 1969,KT632037,HM596069,KT633192,KT632598
Eucalyptus virens,eucalyptus virens,eucalyptus virens,eucalyptus,virens,NA,eucalyptus virens,Accepted,,Brooker & A.R.Bean,Currency Creek 2116,KT632038,KT631390,KT633193,KT632599
Eucalyptus viridis,eucalyptus viridis,eucalyptus viridis,eucalyptus,viridis,NA,eucalyptus viridis,Accepted,,F.Muell. ex R.T.Baker,Currency Creek 457,KT632039,KT631391,KT633194,KT632600
Eucalyptus vittata,eucalyptus vittata,eucalyptus vittata,eucalyptus,vittata,NA,eucalyptus vittata,Accepted,,D.Nicolle,Currency Creek 3667,KT632040,KT631392,KT633195,KT632601
Eucalyptus vokesensis,eucalyptus vokesensis,eucalyptus vokesensis,eucalyptus,vokesensis,NA,eucalyptus vokesensis,Accepted,,D.Nicolle & L.A.S.Johnson &,Currency Creek 2619,KT632041,KT631393,KT633196,KT632602
Eucalyptus wandoo subsp. wandoo,eucalyptus wandoo subsp. wandoo,eucalyptus wandoo,eucalyptus,wandoo,wandoo,eucalyptus wandoo subsp. wandoo,Accepted,,Blakely,Currency Creek 3447,KT632042,KT631394,KT633197,KT632603
Eucalyptus websteriana subsp. websteriana,eucalyptus websteriana subsp. websteriana,eucalyptus websteriana,eucalyptus,websteriana,websteriana,eucalyptus websteriana subsp. websteriana,Accepted,,Maiden,Waite Arboretum 1833B,KT632043,,KT633198,KT632604
Eucalyptus wetarensis,eucalyptus wetarensis,eucalyptus wetarensis,eucalyptus,wetarensis,NA,eucalyptus wetarensis,Accepted,,L.D.Pryor,GenBank,,AY039752,,
Eucalyptus whitei,eucalyptus whitei,eucalyptus whitei,eucalyptus,whitei,NA,eucalyptus whitei,Accepted,,Maiden & Blakely,Currency Creek 2550,KT632044,,KT633199,KT632605
Eucalyptus wilcoxii,eucalyptus wilcoxii,eucalyptus wilcoxii,eucalyptus,wilcoxii,NA,eucalyptus wilcoxii,Accepted,,Boland & Kleinig,Currency Creek 1773,KT632045,KT631395,KT633200,
Eucalyptus williamsiana,eucalyptus williamsiana,eucalyptus williamsiana,eucalyptus,williamsiana,NA,eucalyptus williamsiana,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 660,KT632046,KT631396,KT633201,KT632606
Eucalyptus willisii subsp. willisii,eucalyptus willisii subsp. willisii,eucalyptus willisii,eucalyptus,willisii,willisii,eucalyptus willisii subsp. willisii,Accepted,,"Ladiges, Humphries & Brooker",CANB 468525**,KT632047,AF058499,KT633202,KT632607
Eucalyptus woodwardii,eucalyptus woodwardii,eucalyptus woodwardii,eucalyptus,woodwardii,NA,eucalyptus woodwardii,Accepted,,Maiden,CANB 794035**,KT632048,KT631397,,KT632608
Eucalyptus wubinensis,eucalyptus wubinensis,eucalyptus wubinensis,eucalyptus,wubinensis,NA,eucalyptus wubinensis,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 3498,KT632049,,,
Eucalyptus wyolensis,eucalyptus wyolensis,eucalyptus wyolensis,eucalyptus,wyolensis,NA,eucalyptus wyolensis,Accepted,,Boomsma,Currency Creek 2633,KT632050,KT631398,KT633204,KT632609
Eucalyptus xanthonema subsp. xanthonema,eucalyptus xanthonema subsp. xanthonema,eucalyptus xanthonema,eucalyptus,xanthonema,xanthonema,eucalyptus xanthonema subsp. xanthonema,Accepted,,Turcz.,CANB 794264**,KT632051,KT631399,KT633205,KT632610
Eucalyptus xerothermica,eucalyptus xerothermica,eucalyptus xerothermica,eucalyptus,xerothermica,NA,eucalyptus xerothermica,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 541,,KT631400,,KT632611
Eucalyptus yalatensis,eucalyptus yalatensis,eucalyptus yalatensis,eucalyptus,yalatensis,NA,eucalyptus yalatensis,Accepted,,Boomsma,Currency Creek 2142,KT632052,KT631401,KT633206,KT632612
Eucalyptus yangoura,eucalyptus yangoura,eucalyptus yangoura,eucalyptus,yangoura,NA,eucalyptus yangoura,Synonym,Eucalyptus globoidea,Blakely,Waite Arboretum 2389,KT632053,KT631402,KT633207,KT632613
Eucalyptus yarraensis,eucalyptus yarraensis,eucalyptus yarraensis,eucalyptus,yarraensis,NA,eucalyptus yarraensis,Accepted,,Maiden & Cambage,ANBG 8005851,KT632054,KT631403,KT633208,
Eucalyptus yilgarnensis,eucalyptus yilgarnensis,eucalyptus yilgarnensis,eucalyptus,yilgarnensis,NA,eucalyptus yilgarnensis,Accepted,,(Maiden) Brooker,Waite Arboretum 2349,KT632055,KT631404,KT633209,KT632614
Eucalyptus youmanii,eucalyptus youmanii,eucalyptus youmanii,eucalyptus,youmanii,NA,eucalyptus youmanii,Accepted,,Blakely & McKie,ANBG 73091,KT632056,KT631405,KT633210,KT632615
Eucalyptus youngiana,eucalyptus youngiana,eucalyptus youngiana,eucalyptus,youngiana,NA,eucalyptus youngiana,Accepted,,F.Muell.,Currency Creek 523,KT632057,KT631406,KT633211,KT632616
Eucalyptus yumbarrana,eucalyptus yumbarrana,eucalyptus yumbarrana,eucalyptus,yumbarrana,NA,eucalyptus yumbarrana,Accepted,,Boomsma,Currency Creek 1808,KT632058,KT631407,KT633212,
Eucalyptus zopherophloia,eucalyptus zopherophloia,eucalyptus zopherophloia,eucalyptus,zopherophloia,NA,eucalyptus zopherophloia,Accepted,,Brooker & Hopper,Waite Arboretum 2725,KT632059,KT631408,KT633213,KT632617
Heteropyxis natalensis,heteropyxis natalensis,heteropyxis natalensis,heteropyxis,natalensis,NA,heteropyxis natalensis,Accepted,,Harv.,GenBank,,AF283676,AF368208,
Hypocalymma linifolium,hypocalymma linifolium,hypocalymma linifolium,hypocalymma,linifolium,NA,hypocalymma linifolium,Synonym,Hypocalymma tetrapterum,Turcz.,GenBank,,,AF489379,
Kjellbergiodendron celebicum,kjellbergiodendron celebicum,kjellbergiodendron celebicum,kjellbergiodendron,celebicum,NA,kjellbergiodendron celebicum,Accepted,,(Koord.) Merr.,GenBank,,"HM160110, HM160109",AF368209,
Kunzea ericoides,kunzea ericoides,kunzea ericoides,kunzea,ericoides,NA,kunzea ericoides,Accepted,,(A.Rich.) Joy Thomps.,GenBank,EU815435,DQ499113,AF184724,
Lophostemon confertus,lophostemon confertus,lophostemon confertus,lophostemon,confertus,NA,lophostemon confertus,Accepted,,(R.Br.) Peter G.Wilson &,GenBank,AM489925,AF390444,AM489994,AF190368
Lophostemon suaveolens,lophostemon suaveolens,lophostemon suaveolens,lophostemon,suaveolens,NA,lophostemon suaveolens,Accepted,,(Sol. ex Gaertn.) Peter G.Wilson,CANB 750277**,KT632060,KT631409,KT633214,KT632618
Myrtus communis,myrtus communis,myrtus communis,myrtus,communis,NA,myrtus communis,Accepted,,L.,GenBank,AM489955,AM234149,AY525136,
Stockwellia quadrifida,stockwellia quadrifida,stockwellia quadrifida,stockwellia,quadrifida,NA,stockwellia quadrifida,Accepted,,"D.J.Carr, S.G.M.Carr & B.Hyland",GenBank,DQ352539,AF058452,AY525138,
Syncarpia glomulifera,syncarpia glomulifera,syncarpia glomulifera,syncarpia,glomulifera,NA,syncarpia glomulifera,Accepted,,(Sm.) Nied.,Boodooree Botanic Garden s.n.,KT632061,HM160117,AF368220,KT632619
Syncarpia hillii,syncarpia hillii,syncarpia hillii,syncarpia,hillii,NA,syncarpia hillii,Accepted,,F.M.Bailey,ANBG 612122,KT632062,KT631410,KT633215,KT632620
Syzygium angophoroides,syzygium angophoroides,syzygium angophoroides,syzygium,angophoroides,NA,syzygium angophoroides,Accepted,,(F.Muell.) B.Hyland,GenBank,AY187106,AY187172,DQ088557,
Tepualia stipularis,tepualia stipularis,tepualia stipularis,tepualia,stipularis,NA,tepualia stipularis,Accepted,,(Hook. & Arn.) Griseb.,GenBank,AM489969,AM234071,AF368222,AM489884
